"isono","year","sexno","ageno","eduno","ryl15"
208,2065,0,0,0,79.3
208,2070,0,0,0,80.1
208,2075,0,0,0,81
208,2080,0,0,0,81.9
208,2085,0,0,0,82.7
208,2090,0,0,0,83.6
208,2095,0,0,0,84.4
214,2010,0,0,0,70.4
214,2015,0,0,0,70.7
214,2020,0,0,0,71.4
214,2025,0,0,0,71.9
214,2030,0,0,0,72.7
214,2035,0,0,0,73.4
214,2040,0,0,0,74.1
214,2045,0,0,0,74.8
214,2050,0,0,0,75.6
214,2055,0,0,0,76.5
214,2060,0,0,0,77.3
214,2065,0,0,0,78.1
214,2070,0,0,0,78.9
214,2075,0,0,0,79.6
214,2080,0,0,0,80.4
214,2085,0,0,0,81.2
214,2090,0,0,0,82.1
214,2095,0,0,0,82.9
218,2010,0,0,0,69.9
218,2015,0,0,0,70.7
218,2020,0,0,0,71.4
218,2025,0,0,0,72.1
218,2030,0,0,0,72.9
218,2035,0,0,0,73.6
218,2040,0,0,0,74.2
218,2045,0,0,0,74.9
218,2050,0,0,0,75.7
218,2055,0,0,0,76.5
218,2060,0,0,0,77.4
218,2065,0,0,0,78.2
218,2070,0,0,0,79
218,2075,0,0,0,79.7
218,2080,0,0,0,80.6
218,2085,0,0,0,81.5
218,2090,0,0,0,82.3
218,2095,0,0,0,83.2
222,2010,0,0,0,70.2
222,2015,0,0,0,71
222,2020,0,0,0,71.8
222,2025,0,0,0,72.6
222,2030,0,0,0,73.5
222,2035,0,0,0,74.2
222,2040,0,0,0,74.9
222,2045,0,0,0,75.7
222,2050,0,0,0,76.5
222,2055,0,0,0,77.3
222,2060,0,0,0,78.1
222,2065,0,0,0,78.9
222,2070,0,0,0,79.6
222,2075,0,0,0,80.4
222,2080,0,0,0,81.1
222,2085,0,0,0,81.9
222,2090,0,0,0,82.7
222,2095,0,0,0,83.5
226,2010,0,0,0,61.1
226,2015,0,0,0,61.7
226,2020,0,0,0,62.2
226,2025,0,0,0,62.3
226,2030,0,0,0,62.7
226,2035,0,0,0,62.8
226,2040,0,0,0,63.3
226,2045,0,0,0,63.4
226,2050,0,0,0,63.7
226,2055,0,0,0,64
226,2060,0,0,0,64.5
226,2065,0,0,0,65
226,2070,0,0,0,65.3
226,2075,0,0,0,65.7
226,2080,0,0,0,66.2
226,2085,0,0,0,66.6
226,2090,0,0,0,67.3
226,2095,0,0,0,67.9
231,2010,0,0,0,62.9
231,2015,0,0,0,63.3
231,2020,0,0,0,63.3
231,2025,0,0,0,63.9
231,2030,0,0,0,64
231,2035,0,0,0,64.2
231,2040,0,0,0,64.5
231,2045,0,0,0,64.7
231,2050,0,0,0,65
231,2055,0,0,0,65.5
231,2060,0,0,0,66.1
231,2065,0,0,0,66.7
231,2070,0,0,0,67.3
231,2075,0,0,0,68
231,2080,0,0,0,68.7
231,2085,0,0,0,69.5
