"isono","year","sexno","ageno","eduno","tdr"
144,2040,0,0,0,0.53
144,2045,0,0,0,0.57
144,2050,0,0,0,0.61
144,2055,0,0,0,0.63
144,2060,0,0,0,0.65
144,2065,0,0,0,0.68
144,2070,0,0,0,0.74
144,2075,0,0,0,0.82
144,2080,0,0,0,0.89
144,2085,0,0,0,0.95
144,2090,0,0,0,0.99
144,2095,0,0,0,1.03
144,2100,0,0,0,1.08
148,1970,0,0,0,0.84
148,1975,0,0,0,0.87
148,1980,0,0,0,0.91
148,1985,0,0,0,0.95
148,1990,0,0,0,0.97
148,1995,0,0,0,0.97
148,2000,0,0,0,0.96
148,2005,0,0,0,0.95
148,2010,0,0,0,0.93
148,2015,0,0,0,0.92
148,2020,0,0,0,0.89
148,2025,0,0,0,0.87
148,2030,0,0,0,0.83
148,2035,0,0,0,0.78
148,2040,0,0,0,0.73
148,2045,0,0,0,0.68
148,2050,0,0,0,0.64
148,2055,0,0,0,0.61
148,2060,0,0,0,0.58
148,2065,0,0,0,0.55
148,2070,0,0,0,0.53
148,2075,0,0,0,0.52
148,2080,0,0,0,0.51
148,2085,0,0,0,0.51
148,2090,0,0,0,0.51
148,2095,0,0,0,0.51
148,2100,0,0,0,0.52
152,1970,0,0,0,0.81
152,1975,0,0,0,0.73
152,1980,0,0,0,0.63
152,1985,0,0,0,0.56
152,1990,0,0,0,0.56
152,1995,0,0,0,0.57
152,2000,0,0,0,0.54
152,2005,0,0,0,0.49
152,2010,0,0,0,0.46
152,2015,0,0,0,0.45
152,2020,0,0,0,0.45
152,2025,0,0,0,0.48
152,2030,0,0,0,0.51
152,2035,0,0,0,0.54
152,2040,0,0,0,0.57
152,2045,0,0,0,0.59
152,2050,0,0,0,0.63
152,2055,0,0,0,0.7
152,2060,0,0,0,0.78
152,2065,0,0,0,0.85
152,2070,0,0,0,0.91
152,2075,0,0,0,0.99
152,2080,0,0,0,1.07
152,2085,0,0,0,1.15
152,2090,0,0,0,1.24
152,2095,0,0,0,1.31
152,2100,0,0,0,1.39
156,1970,0,0,0,0.77
156,1975,0,0,0,0.77
156,1980,0,0,0,0.69
156,1985,0,0,0,0.56
156,1990,0,0,0,0.51
