"isono","year","sexno","ageno","eduno","podr"
340,2050,0,0,0,0.061
340,2055,0,0,0,0.07
340,2060,0,0,0,0.08
340,2065,0,0,0,0.09
340,2070,0,0,0,0.1
340,2075,0,0,0,0.11
340,2080,0,0,0,0.117
340,2085,0,0,0,0.124
340,2090,0,0,0,0.13
340,2095,0,0,0,0.134
344,2010,0,0,0,0.083
344,2015,0,0,0,0.079
344,2020,0,0,0,0.077
344,2025,0,0,0,0.086
344,2030,0,0,0,0.1
344,2035,0,0,0,0.12
344,2040,0,0,0,0.141
344,2045,0,0,0,0.156
344,2050,0,0,0,0.16
344,2055,0,0,0,0.158
344,2060,0,0,0,0.154
344,2065,0,0,0,0.151
344,2070,0,0,0,0.149
344,2075,0,0,0,0.15
344,2080,0,0,0,0.155
344,2085,0,0,0,0.156
344,2090,0,0,0,0.147
344,2095,0,0,0,0.136
348,2010,0,0,0,0.143
348,2015,0,0,0,0.143
348,2020,0,0,0,0.148
348,2025,0,0,0,0.158
348,2030,0,0,0,0.161
348,2035,0,0,0,0.156
348,2040,0,0,0,0.154
348,2045,0,0,0,0.159
348,2050,0,0,0,0.171
348,2055,0,0,0,0.184
348,2060,0,0,0,0.187
348,2065,0,0,0,0.188
348,2070,0,0,0,0.188
348,2075,0,0,0,0.182
348,2080,0,0,0,0.174
348,2085,0,0,0,0.17
348,2090,0,0,0,0.17
348,2095,0,0,0,0.167
352,2010,0,0,0,0.075
352,2015,0,0,0,0.07
352,2020,0,0,0,0.071
352,2025,0,0,0,0.076
352,2030,0,0,0,0.083
352,2035,0,0,0,0.091
352,2040,0,0,0,0.097
352,2045,0,0,0,0.1
352,2050,0,0,0,0.099
352,2055,0,0,0,0.099
352,2060,0,0,0,0.098
352,2065,0,0,0,0.1
352,2070,0,0,0,0.103
352,2075,0,0,0,0.107
352,2080,0,0,0,0.111
352,2085,0,0,0,0.11
352,2090,0,0,0,0.108
352,2095,0,0,0,0.108
356,2010,0,0,0,0.057
356,2015,0,0,0,0.058
356,2020,0,0,0,0.064
356,2025,0,0,0,0.069
356,2030,0,0,0,0.073
356,2035,0,0,0,0.077
356,2040,0,0,0,0.081
356,2045,0,0,0,0.086
356,2050,0,0,0,0.095
356,2055,0,0,0,0.106
356,2060,0,0,0,0.117
356,2065,0,0,0,0.127
356,2070,0,0,0,0.136
356,2075,0,0,0,0.143
356,2080,0,0,0,0.15
356,2085,0,0,0,0.156
356,2090,0,0,0,0.163
356,2095,0,0,0,0.168
360,2010,0,0,0,0.063
360,2015,0,0,0,0.062
360,2020,0,0,0,0.066
360,2025,0,0,0,0.073
360,2030,0,0,0,0.082
360,2035,0,0,0,0.092
360,2040,0,0,0,0.103
360,2045,0,0,0,0.116
360,2050,0,0,0,0.127
360,2055,0,0,0,0.14
360,2060,0,0,0,0.15
360,2065,0,0,0,0.157
360,2070,0,0,0,0.163
360,2075,0,0,0,0.168
