"isono","year","sexno","ageno","eduno","e0"
90,2025,1,0,0,66.6
90,2030,1,0,0,67.6
90,2035,1,0,0,68.5
90,2040,1,0,0,69.5
90,2045,1,0,0,70.4
90,2050,1,0,0,71.4
90,2055,1,0,0,72.4
90,2060,1,0,0,73.4
90,2065,1,0,0,74.4
90,2070,1,0,0,75.4
90,2075,1,0,0,76.4
90,2080,1,0,0,77.3
90,2085,1,0,0,78.3
90,2090,1,0,0,79.3
90,2095,1,0,0,80.3
90,2010,2,0,0,68.1
90,2015,2,0,0,68.8
90,2020,2,0,0,69.4
90,2025,2,0,0,70.3
90,2030,2,0,0,71.3
90,2035,2,0,0,72.3
90,2040,2,0,0,73.4
90,2045,2,0,0,74.3
90,2050,2,0,0,75.3
90,2055,2,0,0,76.3
90,2060,2,0,0,77.3
90,2065,2,0,0,78.3
90,2070,2,0,0,79.3
90,2075,2,0,0,80.3
90,2080,2,0,0,81.3
90,2085,2,0,0,82.3
90,2090,2,0,0,83.2
90,2095,2,0,0,84.2
90,2010,0,0,0,66.6
90,2015,0,0,0,67
90,2020,0,0,0,67.6
90,2025,0,0,0,68.4
90,2030,0,0,0,69.4
90,2035,0,0,0,70.3
90,2040,0,0,0,71.3
90,2045,0,0,0,72.2
90,2050,0,0,0,73.2
90,2055,0,0,0,74.3
90,2060,0,0,0,75.3
90,2065,0,0,0,76.3
90,2070,0,0,0,77.3
90,2075,0,0,0,78.3
90,2080,0,0,0,79.3
90,2085,0,0,0,80.3
90,2090,0,0,0,81.2
90,2095,0,0,0,82.2
96,2010,1,0,0,76.8
96,2015,1,0,0,78.3
96,2020,1,0,0,79.6
96,2025,1,0,0,80.7
96,2030,1,0,0,81.8
96,2035,1,0,0,82.9
96,2040,1,0,0,84
96,2045,1,0,0,85.1
96,2050,1,0,0,86.1
96,2055,1,0,0,87.2
96,2060,1,0,0,88.3
96,2065,1,0,0,89.4
96,2070,1,0,0,90.6
96,2075,1,0,0,91.7
96,2080,1,0,0,92.7
96,2085,1,0,0,93.8
96,2090,1,0,0,94.8
96,2095,1,0,0,95.7
96,2010,2,0,0,81.3
96,2015,2,0,0,82.7
96,2020,2,0,0,83.9
96,2025,2,0,0,85
96,2030,2,0,0,86
96,2035,2,0,0,87.2
96,2040,2,0,0,88.2
96,2045,2,0,0,89.3
96,2050,2,0,0,90.3
96,2055,2,0,0,91.4
96,2060,2,0,0,92.5
96,2065,2,0,0,93.6
96,2070,2,0,0,94.7
96,2075,2,0,0,95.8
96,2080,2,0,0,96.8
96,2085,2,0,0,97.9
96,2090,2,0,0,98.9
96,2095,2,0,0,99.9
96,2010,0,0,0,78.9
96,2015,0,0,0,80.3
96,2020,0,0,0,81.6
96,2025,0,0,0,82.8
96,2030,0,0,0,83.8
96,2035,0,0,0,85
96,2040,0,0,0,86.1
96,2045,0,0,0,87.1
96,2050,0,0,0,88.2
96,2055,0,0,0,89.3
96,2060,0,0,0,90.5
96,2065,0,0,0,91.6
96,2070,0,0,0,92.7
96,2075,0,0,0,93.8
96,2080,0,0,0,94.8
96,2085,0,0,0,95.9
96,2090,0,0,0,96.9
96,2095,0,0,0,97.8
100,2010,1,0,0,70.4
100,2015,1,0,0,71.6
100,2020,1,0,0,72.7
100,2025,1,0,0,73.9
100,2030,1,0,0,75
100,2035,1,0,0,76.1
100,2040,1,0,0,77.3
100,2045,1,0,0,78.4
100,2050,1,0,0,79.6
100,2055,1,0,0,80.7
100,2060,1,0,0,81.9
100,2065,1,0,0,83.1
100,2070,1,0,0,84.2
100,2075,1,0,0,85.3
100,2080,1,0,0,86.5
100,2085,1,0,0,87.6
100,2090,1,0,0,88.8
100,2095,1,0,0,89.8
100,2010,2,0,0,77.3
100,2015,2,0,0,78.3
100,2020,2,0,0,79.3
100,2025,2,0,0,80.3
100,2030,2,0,0,81.3
100,2035,2,0,0,82.3
100,2040,2,0,0,83.4
100,2045,2,0,0,84.5
100,2050,2,0,0,85.6
100,2055,2,0,0,86.6
100,2060,2,0,0,87.7
100,2065,2,0,0,88.8
100,2070,2,0,0,89.9
100,2075,2,0,0,90.9
100,2080,2,0,0,92
100,2085,2,0,0,93.2
100,2090,2,0,0,94.3
100,2095,2,0,0,95.3
100,2010,0,0,0,73.8
100,2015,0,0,0,74.9
100,2020,0,0,0,76
100,2025,0,0,0,77.2
100,2030,0,0,0,78.2
100,2035,0,0,0,79.2
100,2040,0,0,0,80.4
100,2045,0,0,0,81.5
100,2050,0,0,0,82.7
100,2055,0,0,0,83.7
100,2060,0,0,0,84.8
100,2065,0,0,0,85.9
100,2070,0,0,0,87.1
100,2075,0,0,0,88.1
100,2080,0,0,0,89.3
100,2085,0,0,0,90.4
100,2090,0,0,0,91.5
100,2095,0,0,0,92.5
